Hello from premain
------------------------------------------------------------
name: okhttp3.OkHttpClient$Builder
canonicalName: okhttp3.OkHttpClient.Builder
simpleName: Builder
typeName: okhttp3.OkHttpClient$Builder
------------------------------------------------------------
[Byte Buddy] COMPLETE okhttp3.internal.connection.RealConnectionPool$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.internal.concurrent.TaskRunner [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.internal.concurrent.TaskRunner [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.internal.concurrent.TaskRunner [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.internal.concurrent.TaskRunner$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.internal.concurrent.TaskRunner$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.internal.concurrent.TaskRunner$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.internal.concurrent.TaskRunner$RealBackend [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.internal.concurrent.TaskRunner$RealBackend [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.internal.concurrent.TaskRunner$RealBackend [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.internal.concurrent.TaskRunner$Backend [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.internal.concurrent.TaskRunner$Backend [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.internal.concurrent.TaskRunner$Backend [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.internal.Util [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.internal.Util [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.internal.Util [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.lang.ArrayIndexOutOfBoundsException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.lang.ArrayIndexOutOfBoundsException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.lang.ArrayIndexOutOfBoundsException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.InterruptedIOException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.InterruptedIOException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.InterruptedIOException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.net.SocketTimeoutException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.net.SocketTimeoutException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.net.SocketTimeoutException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.Headers [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
